1.615958235918000000e+12 5.665614096699674847e+05 5.932846708791337907e+06
1.615958236658000000e+12 5.665622271230607294e+05 5.932846884659809992e+06
1.615958237268000000e+12 5.665630456854323857e+05 5.932847055290765129e+06
1.615958237888000000e+12 5.665638671552503947e+05 5.932847211324789561e+06
1.615958238478000000e+12 5.665646856648611138e+05 5.932847382208654657e+06
1.615958239118000000e+12 5.665655137509546475e+05 5.932847498108184896e+06
1.615958239728000000e+12 5.665663423856172012e+05 5.932847610018309206e+06
1.615958240308000000e+12 5.665671761749354191e+05 5.932847672904335894e+06
1.615958240878000000e+12 5.665680041722219903e+05 5.932847789436613210e+06
1.615958241518000000e+12 5.665688392144730315e+05 5.932847832607423887e+06
1.615958242028000000e+12 5.665696735331200762e+05 5.932847888030108064e+06
1.615958242618000000e+12 5.665705096507947892e+05 5.932847879874536768e+06
1.615958243198000000e+12 5.665713457632958889e+05 5.932847888544296846e+06
1.615958243748000000e+12 5.665721815792840207e+05 5.932847864650496282e+06
1.615958244348000000e+12 5.665730164845889667e+05 5.932847910393383354e+06
1.615958244978000000e+12 5.665738525322008645e+05 5.932847923945842311e+06
1.615958245528000000e+12 5.665746881746586878e+05 5.932847953287987970e+06
1.615958246048000000e+12 5.665755234952279134e+05 5.932847915887101553e+06
1.615958246628000000e+12 5.665763591183738317e+05 5.932847886000019498e+06
1.615958247188000000e+12 5.665771920592879178e+05 5.932847812728522345e+06
1.615958247778000000e+12 5.665780282147242688e+05 5.932847814562869258e+06
1.615958248298000000e+12 5.665788622630804311e+05 5.932847755211214535e+06
1.615958248888000000e+12 5.665796982652955921e+05 5.932847739099855535e+06
1.615958249408000000e+12 5.665805338412147248e+05 5.932847707920331508e+06
1.615958250028000000e+12 5.665813693799211178e+05 5.932847740081626922e+06
1.615958250668000000e+12 5.665822054598613176e+05 5.932847728696870618e+06
1.615958251148000000e+12 5.665830408826123457e+05 5.932847763741207309e+06
1.615958251658000000e+12 5.665838768375376239e+05 5.932847745338991284e+06
