1.606391913755000000e+12,5.665773828747445950e+05,5.932831519752245396e+06,2.256118856138807871e+01
1.606391924085000000e+12,5.665663486399715766e+05,5.932829380043572746e+06,1.561878402101523022e+01
1.606391933915000000e+12,5.665495806660187664e+05,5.932824686895599589e+06,1.493396350462607103e+01
1.606391944235000000e+12,5.665434358208952472e+05,5.932823499208679423e+06,1.647492450780640283e+01
1.606391953845000000e+12,5.665547093159131473e+05,5.932827738039555028e+06,2.339278578277366449e+01
1.606391963965000000e+12,5.665634888156244997e+05,5.932829710460439324e+06,1.569543771841770408e+01
1.606391974225000000e+12,5.665683648213653360e+05,5.932831690331412479e+06,1.674319190045781269e+01
1.606391984115000000e+12,5.665823911110558547e+05,5.932835918246831745e+06,1.953255114348644383e+01
1.606391993955000000e+12,5.665938889537904179e+05,5.932836050243605860e+06,1.813358831921064862e+01
1.606392004135000000e+12,5.665849361903540557e+05,5.932842144444384612e+06,1.923892703035017604e+01
1.606392013905000000e+12,5.665764768254634691e+05,5.932838528211416677e+06,1.695417451281475607e+01
1.606392024015000000e+12,5.665660036801416427e+05,5.932828488323131576e+06,2.356152607910285113e+01
1.606392032335000000e+12,5.665747438088443596e+05,5.932832343474561349e+06,1.850481141235722049e+01
